Arrival Delay (Minutes),destinationstate_0,destinationstate_1,destinationstate_2,destinationlatitude,destinationlongitude,originstate_0,originstate_1,originstate_2,originstate_3,originstate_4,originstate_5,originstate_6,originlatitude,originlongitude,Month,Day,Scheduled Arrival Hour,Scheduled Arrival Minute,Weekdaynum,xs,ys,Month_sin,Month_cos,Day_sin,Day_cos,Weekdaynum_sin,Weekdaynum_cos,HS_Dist,Delayed?,Carrier Code_AA,Carrier Code_DL,Carrier Code_OO,Carrier Code_UA,Carrier Code_WN,Destination Airport_ATL,Destination Airport_DFW,Destination Airport_LAX,Destination Airport_ORD
6,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,1,16,34,0,-0.930417568,-0.366501227,0.5,0.866025404,0.20129852,0.979529941,0,1,1224,1,1,0,0,0,0,1,0,0,0
2,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,1,14,44,0,-0.656059029,-0.75470958,0.5,0.866025404,0.20129852,0.979529941,0,1,364,1,1,0,0,0,0,1,0,0,0
-22,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,1,20,37,0,-0.774392644,0.632705329,0.5,0.866025404,0.20129852,0.979529941,0,1,1071,0,1,0,0,0,0,1,0,0,0
0,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,1,23,59,0,-0.004363309,0.999990481,0.5,0.866025404,0.20129852,0.979529941,0,1,364,0,1,0,0,0,0,1,0,0,0
-17,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,1,10,34,0,0.366501227,-0.930417568,0.5,0.866025404,0.20129852,0.979529941,0,1,1071,0,1,0,0,0,0,1,0,0,0
-8,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,1,17,48,0,-0.998629535,-0.052335956,0.5,0.866025404,0.20129852,0.979529941,0,1,1071,0,1,0,0,0,0,1,0,0,0
-15,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,1,15,8,0,-0.731353702,-0.68199836,0.5,0.866025404,0.20129852,0.979529941,0,1,1071,0,1,0,0,0,0,1,0,0,0
4,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,0,41.9796,-87.90446,1,1,0,45,0,0.195090322,0.98078528,0.5,0.866025404,0.20129852,0.979529941,0,1,976,1,1,0,0,0,0,1,0,0,0
-3,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,1,21,41,0,-0.569996763,0.821646938,0.5,0.866025404,0.20129852,0.979529941,0,1,1174,0,1,0,0,0,0,1,0,0,0
-15,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,1,12,0,0,1.22E-16,-1,0.5,0.866025404,0.20129852,0.979529941,0,1,1174,0,1,0,0,0,0,1,0,0,0
